matched wrong
32	3
36	1
38	1
38	1
38	1
39	1
53	1
56	1
64	3
70	4
76	6
81	3
89	4
90	3
91	3
92	3
92	6
93	3
96	4
99	11
103	4
105	7
108	6
110	8
117	7
118	4
119	8
120	12
120	7
121	13
122	6
123	3
123	8
125	3
126	7
127	3
128	3
129	10
130	12
130	9
131	15
131	5
132	13
132	17
133	15
133	7
134	10
134	21
134	26
134	9
135	11
135	14
135	15
135	23
135	28
136	12
136	14
136	19
136	22
136	27
137	12
137	14
137	16
137	21
137	25
138	13
138	14
138	20
138	21
138	25
139	10
139	15
139	18
139	22
139	23
139	27
140	12
140	25
140	30
142	12
142	13
143	14
143	14
144	20
144	7
146	4
155	9
169	5
174	5
179	5
182	5
182	6
200	4
203	7
207	15
207	8
209	15
209	8
210	8
211	12
213	3
214	16
215	18
216	9
217	17
218	11
219	19
219	33
220	20
220	24
221	12
221	14
222	11
222	12
222	24
222	26
223	12
223	16
224	15
224	29
225	16
225	16
225	23
225	24
226	15
226	18
226	22
226	23
226	27
226	29
227	16
227	19
227	24
227	25
228	17
228	18
228	24
228	29
229	19
229	26
229	32
262	3
265	14
272	4
276	13
284	4
285	4
290	3
290	4
292	16
305	12
319	15
323	6
333	21
336	5
339	6
341	4
343	20
344	5
346	5
347	40
351	9
353	29
356	16
356	9
360	10
361	15
363	45
364	16
366	15
367	17
369	46
370	20
371	9
372	9
373	9
374	15
377	14
377	19
377	25
378	20
379	12
380	13
381	12
382	11
383	14
384	12
384	17
385	12
385	14
385	20
385	24
386	16
386	24
387	16
387	19
387	25
388	14
388	20
388	24
388	31
389	15
389	19
389	24
389	25
389	28
390	24
390	25
390	27
390	30
391	28
407	1
444	3
448	3
452	3
453	3
466	4
477	7
494	7
496	15
500	5
501	7
503	4
504	5
506	7
508	12
510	15
511	19
515	26
520	4
524	19
526	16
526	26
527	24
529	10
530	20
534	9
535	14
536	25
537	19
538	9
539	21
540	21
540	27
541	28
542	17
545	12
546	21
546	26
547	15
547	21
547	28
548	14
549	18
549	24
549	29
549	35
550	18
550	29
551	21
551	24
551	29
551	35
552	21
552	24
552	31
553	22
554	16
554	25
555	33
560	13
569	8
571	5
577	8
583	11
590	14
591	18
600	18
602	29
606	19
607	27
611	23
614	15
619	13
621	25
623	11
623	7
630	10
631	20
635	33
635	39
636	39
637	25
642	41
644	24
647	26
648	20
648	36
649	26
650	24
652	27
653	14
654	32
655	22
657	18
658	25
659	34
660	20
660	29
660	35
662	21
663	13
664	23
664	25
664	31
664	35
665	25
665	28
665	62
666	18
667	23
667	32
668	25
668	30
669	24
669	28
669	31
669	33
670	20
670	27
671	28
671	35
674	19
675	21
676	23
676	32
680	32
682	57
687	23
688	75
692	28
695	200
699	23
700	231
702	38
704	29
705	67
706	45
709	144
709	80
711	74
712	39
714	175
714	45
716	35
716	79
717	38
718	38
719	42
720	30
722	104
722	45
723	71
724	41
725	45
725	73
726	41
726	43
726	81
727	46
728	43
728	43
728	78
728	82
729	55
729	78
730	55
730	94
732	45
732	98
734	101
734	52
737	35
738	39
740	52
740	69
741	49
741	61
742	68
743	46
743	66
744	37
746	28
746	44
747	36
748	26
749	39
749	79
750	22
750	54
751	81
752	25
753	35
754	112
755	24
755	65
756	25
756	39
758	24
758	70
760	33
760	48
761	43
761	48
762	27
762	38
762	76
763	28
763	43
763	45
763	60
764	29
764	39
764	41
765	28
765	39
765	96
766	31
766	43
766	49
767	31
767	44
768	33
768	41
769	31
769	44
769	54
770	118
770	44
770	46
771	32
771	40
771	90
772	118
773	38
773	45
776	44
777	159
778	103
778	175
780	33
780	56
782	126
782	47
782	81
783	126
783	81
784	226
785	35
786	100
786	88
787	95
788	42
789	95
790	149
791	54
792	48
794	31
795	135
795	192
795	46
796	57
798	35
798	52
798	65
799	219
799	41
799	50
800	58
801	216
801	240
801	55
802	51
802	64
803	239
803	59
804	62
805	128
805	49
805	70
806	247
806	250
806	67
807	164
807	47
807	61
807	72
807	84
807	93
808	37
808	61
809	169
809	39
809	62
809	74
810	110
810	129
810	54
810	99
811	60
811	62
811	84
812	189
812	61
812	67
812	85
812	99
813	53
813	59
813	67
814	100
814	191
814	195
814	51
814	58
814	68
814	76
815	55
815	57
815	69
816	41
816	66
816	70
817	49
817	51
818	43
819	116
819	52
819	54
819	81
820	117
821	54
821	64
821	65
822	123
822	131
823	55
823	56
823	64
823	64
823	75
823	88
824	58
824	64
824	69
824	69
824	75
824	77
825	57
826	103
826	56
826	59
826	69
826	77
826	90
827	104
827	137
827	145
827	68
827	76
827	79
827	82
827	86
827	90
827	99
828	56
828	68
828	79
829	100
829	100
829	109
829	112
829	144
829	146
829	61
829	66
829	74
829	79
829	81
829	85
829	88
829	93
829	94
830	111
830	114
830	118
830	122
831	64
831	69
831	71
831	75
832	115
832	115
832	124
