percent	matched	wrong
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	1
0.017636684009007045	1	1
0.017636684009007045	1	2
0.017636684009007045	1	2
0.017636684009007045	1	3
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.052910052027021134	3	0
0.07054673603602818	4	0
0.07054673603602818	4	0
0.07054673603602818	4	0
0.08818342004503522	5	0
0.08818342004503522	5	1
0.08818342004503522	5	5
0.12345678806304931	7	0
0.12345678806304931	7	0
0.12345678806304931	7	5
0.14109347207205636	8	7
0.14109347207205636	8	7
0.14109347207205636	8	7
0.15873015608106342	9	1
0.1940035240990775	11	1
0.21164020810808454	12	1
0.21164020810808454	12	10
0.21164020810808454	12	10
0.21164020810808454	12	5
0.2292768921170916	13	1
0.2292768921170916	13	1
0.2645502601351057	15	2
0.2821869441441127	16	2
0.2821869441441127	16	2
0.2821869441441127	16	3
0.2821869441441127	16	3
0.37059082303728375	21	17
0.37059082303728375	21	17
0.388007048198155	22	5
0.40564373220716204	23	3
0.4409171002251761	25	4
0.4409171036311558	25	7
0.4585537842341832	26	4
0.5114638362612043	29	13
0.5469576665333339	31	6
0.5643738882882254	32	7
0.5643738916942052	32	6
0.5820105757032122	33	7
0.6172839437212263	35	11
0.6172839437212263	35	11
0.6172839437212263	35	9
0.6878414290291922	39	23
0.6878414290291922	39	23
0.6878414290291922	39	23
0.6878414290291922	39	23
0.705687826020377	40	10
0.7407407317842756	42	12
0.8291446140834263	47	16
0.8646384375435966	49	20
0.8996913501194546	51	21
1.1820987497057234	67	28
1.199090187890189	68	32
1.199090187890189	68	32
1.199090187890189	68	32
1.199090187890189	68	32
1.2173721177237375	69	31
1.3057760102408273	74	30
1.375661369732448	78	23
1.5529100486210414	88	43
1.641093465260097	93	46
1.6410934686660767	93	47
1.6574181420462473	94	27
1.764345932006836	100	54
1.764345932006836	100	54
