percent	matched	wrong
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	1
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.05269496951784406	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.08796833753585816	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.1056050215448652	6	0
0.12324170555387225	7	0
0.12324170555387225	7	1
0.1408783895628793	8	0
0.14109347207205636	8	0
0.14109347207205636	8	0
0.1937884415899004	11	0
0.1940035240990775	11	0
0.2821869441441127	16	0
0.47619047164916994	27	3
0.6525573185511998	37	2
0.8289349011012486	47	6
0.8641975505011422	49	4
0.9881006019456046	56	0
1.040564387185233	59	8
1.0584322554724557	60	5
1.0762893983295985	61	10
1.0762893983295985	61	13
1.1463845082691737	65	4
1.2526508688926696	71	13
1.269841296332223	72	11
1.2702929190226964	72	4
1.30511999300548	74	8
1.3403987373624529	76	0
1.3935292516435895	79	0
1.4819277541978018	84	18
1.4989138160433089	85	1
1.533751630783081	87	27
1.5886404548372541	90	34
1.6924925667898996	96	34
1.7813104714666095	101	13
1.8871252707072668	107	10
2.0639436994280134	117	5
2.15191205569676	122	43
2.2220124789646696	126	4
