count	matched	wrong
0	18	3
0	21	0
0	24	0
0	24	0
0	27	2
0	30	3
0	31	7
0	63	0
0	7	0
7	10	0
8	15	2
8	21	2
8	4	0
9	10	0
9	13	3
9	2	1
13	15	3
13	16	0
13	8	0
27	12	0
27	2	0
31	10	1
31	14	0
31	6	0
31	6	0
31	8	0
31	8	1
31	9	0
34	6	0
34	6	1
34	8	3
